Year,Week,Bagging_Count,Harvest_Count
2023,1,602,669
2023,2,935,670
2023,3,1360,855
2023,4,770,861
2023,5,606,1126
2023,6,571,651
2023,7,1200,1101
2023,8,520,695
2023,9,1114,1124
2023,10,621,1119
2023,11,966,1148
2023,12,714,737
2023,13,830,452
2023,14,958,1191
2023,15,587,616
2023,16,872,1163
2023,17,599,587
2023,18,1371,823
2023,19,1163,820
2023,20,630,785
2023,21,1161,864
2023,22,808,904
2023,23,1269,903
2023,24,843,821
2023,25,991,766
2023,26,913,700
2023,27,1305,901
2023,28,885,808
2023,29,691,752
2023,30,1455,873
2023,31,776,765
2023,32,660,1036
2023,33,959,1077
2023,34,813,885
2023,35,521,957
2023,36,752,1070
2023,37,1247,1084
2023,38,1356,1157
2023,39,1060,1016
2023,40,974,1338
2023,41,558,929
2023,42,1010,979
2023,43,1181,965
2023,44,975,850
2023,45,1199,1064
2023,46,1475,946
2023,47,1282,824
2023,48,689,743
2023,49,1457,639
2023,50,1186,742
2023,51,1457,1047
2023,52,1062,1103
2024,1,1375,1075
2024,2,1066,1060
2024,3,743,1000
2024,4,1331,918
2024,5,1004,1027
2024,6,630,1227
2024,7,984,1185
2024,8,1318,1196
2024,9,1146,1314
2024,10,520,1120
2024,11,1340,1117
2024,12,666,1388
2024,13,773,1236
2024,14,887,929
2024,15,1100,1247
2024,16,815,1097
2024,17,513,1021
2024,18,741,1079
2024,19,1276,992
2024,20,845,960
2024,21,1064,762
2024,22,1397,935
2024,23,839,1212
2024,24,591,979
2024,25,866,777
2024,26,1455,801
2024,27,954,762
2024,28,927,879
2024,29,1008,854
2024,30,1275,803
2024,31,1442,783
2024,32,534,824
2024,33,705,879
2024,34,580,944
2024,35,1431,1008
2024,36,1061,1121
2024,37,1371,1003
2024,38,887,963
2024,39,501,795
2024,40,889,937
2024,41,1065,1154
2024,42,605,957
2024,43,1271,1206
2024,44,1321,1271
2024,45,976,1285
2024,46,1202,883
2024,47,901,816
2024,48,1229,765
2024,49,1055,1052
2024,50,661,1310
2024,51,701,1230
2024,52,1457,1028
